,published_date,title,text,kode_emitten,label_1,label_2,label_3
0,2018-09-07,"Genjot Kinerja, BRI Medan Rangkul Hipmi Sumut","Boosting Performance, BRI Medan Embraces Hipmi North Sumatra",BBRI,0.0,0.0,0.0
1,2018-09-09,"Fokus dorong digital, BNI gencar kerjasama dengan fintech","Focusing on digital encouragement, BNI is intensively collaborating with fintech",BBNI,0.0,0.0,0.0
2,2018-09-09,BTN sarankan nasabah wealth managementnnya lakukan pengembangan produk,BTN advises its wealth management customers to develop products,BBTN,0.0,0.0,0.0
3,2018-09-11,"Remunerasi direksi dan komisaris Bank BTN mencapai Rp 3,6 miliar",Remuneration for directors and commissioners of Bank BTN reached IDR 3.6 billion,BBTN,0.0,0.0,0.0
4,2018-09-13,"Laba Barito Pacific Turun, Ini Penjelasan dari Direksi","Barito Pacific's Profit Falls, This is the Explanation from the Directors",BRPT,0.0,1.0,1.0
5,2018-09-17,"Jaga Margin, Semen Indonesia (SMGR) Kerek Harga Penjualan","Maintaining Margins, Semen Indonesia (SMGR) Increases Sales Prices",SMGR,0.0,0.0,0.0
6,2018-09-19,BRI Gandeng Siloam Hospitals,BRI Collaborates with Siloam Hospitals,BBRI,0.0,0.0,0.0
7,2018-09-19,BCA Finance Upayakan Dorong Kontribusi Makassar,BCA Finance Seeks to Encourage Makassar Contributions,BBCA,0.0,0.0,0.0
8,2018-09-26,Saham BBCA Jadi Motor Penggerak IHSG,BBCA Shares Become the Driving Force for IHSG,BBCA,0.0,0.0,0.0
9,2018-09-26,Bank Mandiri Bersinergi dengan Himperra dan Perpesma,Bank Mandiri Synergizes with Himperra and Perpesma,BMRI,0.0,0.0,0.0
10,2018-09-27,Suwarna Arta Mandiri beli saham Merdeka Copper Gold,Suwarna Arta Mandiri buys shares in freedom Copper Gold,MDKA,0.0,0.0,0.0
11,2018-09-27,"Sah, Provident Agro (PALM) Beli Saham Merdeka Copper (MDKA)","Legal, Provident Agro (PALM) Buys freedom Copper (MDKA) Shares",MDKA,0.0,0.0,0.0
12,2018-09-27,"SRTG Jual Saham di MDKA Rp309,12 Miliar",SRTG Sells Shares in MDKA for IDR 309.12 Billion,MDKA,0.0,0.0,0.0
13,2018-09-28,"Anak Usaha Dicaplok BRI, Danareksa Masih Calon Holding BUMN Jasa Keuangan","Subsidiary Annexed by BRI, mutual funds Still Candidate for Holding Financial Services BUMN",BBRI,0.0,0.0,0.0
14,2018-09-30,"Kinerja Merdeka Copper Gold (MDKA) Moncer, Analis Bilang Begini","freedom Copper Gold (MDKA) Performance is Great, Analysts Say This",MDKA,0.0,0.0,0.0
15,2018-09-30,"Merdeka Copper Gold (MDKA) Kantongi Laba Bersih US$32,56 Juta",freedom Copper Gold (MDKA) Pockets Net Profit of US$32.56 Million,MDKA,1.0,1.0,1.0
16,2018-10-01,Bank Mandiri Operasikan Cabang Palu Pasca Gempa dan Tsunami,Bank Mandiri Operates Palu Branch After Earthquake and Tsunami,BMRI,0.0,0.0,0.0
17,2018-10-04,Transaksi eMoney Bank Mandiri Sentuh Rp28 Triliun,Bank Mandiri eMoney transactions reach IDR 28 trillion,BMRI,0.0,0.0,0.0
18,2018-10-04,"Tingkatkan Pelayanan, BCA Life Luncurkan Mobile Service","Improving Services, BCA Life Launches Mobile Service",BBCA,0.0,0.0,0.0
19,2018-10-05,Bank Mandiri Cs Berikan Kredit Rp 9 T ke Hutama Karya,Bank Mandiri Cs Provides IDR 9 T Credit to Hutama works,BMRI,0.0,0.0,0.0
20,2018-10-05,"Bergelimang promo, Bank Mandiri dan Garuda Indonesia manjakan nasabah lewat GATF","Wallowing in promotions, Bank Mandiri and Garuda Indonesia pamper customers through GATF",BMRI,0.0,0.0,0.0
21,2018-10-07,"BNI Incar Kenaikan FBI eChannel 13 Persen Jadi Rp1,7 Triliun",BNI Aims to Increase FBI eChannel 13 Percent to IDR 1.7 Trillion,BBNI,0.0,0.0,0.0
22,2018-10-07,BRI berikan pinjaman non cash loan US$ 200 juta ke Garuda Indonesia,BRI provided a non-cash loan of US$ 200 million to Garuda Indonesia,BBRI,0.0,0.0,1.0
23,2018-10-11,"BCA Pasarkan Asuransi Penyakit Kritis dari AIA, Premi Mulai Rp300.000 Per Bulan","BCA Markets Critical Illness Insurance from AIA, Premiums Starting from IDR 300,000 Per Month",BBCA,0.0,0.0,0.0
24,2018-10-14,"Pendapatan fee digital banking BNI sudah capai Rp 1,2 triliun",BNI's digital banking fee income has reached IDR 1.2 trillion,BBNI,0.0,0.0,0.0
25,2018-10-16,BCA Tawarkan Buka Rekening Tanpa Buku Tabungan,BCA offers to open an account without a savings book,BBCA,0.0,0.0,0.0
26,2018-10-17,Bank Mandiri Targetkan Laba 2018 Capai Rp 24 T,Bank Mandiri Targets 2018 Profit to Reach IDR 24 T,BMRI,0.0,0.0,0.0
27,2018-10-17,Bank Mandiri akan beri keringanan bagi debitur di Palu-Donggala,Bank Mandiri will provide relief for debtors in Palu-Donggala,BMRI,0.0,0.0,0.0
28,2018-10-18,"Dongkrak dana murah, ini strategi yang dilakukan BNI","Boosting cheap funds, this is the strategy carried out by BNI",BBNI,0.0,0.0,0.0
29,2018-10-24,"SMGR Tawar Rp 28 T, Ini Daftar Peminat Saham Holcim","SMGR Offers IDR 28 T, This is the List of Interested Holcim Shares",SMGR,0.0,0.0,0.0
30,2018-10-24,"Biaya dana naik, NIM BRI turun menjadi 7,61% di kuartal III-2018","Fund costs rose, BRI's NIM fell to 7.61% in the third quarter of 2018",BBRI,1.0,1.0,1.0
