,published_date,title,publisher,kode_emitten,title_en
0,2018-09-07,"Genjot Kinerja, BRI Medan Rangkul Hipmi Sumut",Bisnis,BBRI,"Boosting Performance, BRI Medan Embraces Hipmi North Sumatra"
1,2018-09-19,BRI Gandeng Siloam Hospitals,Bisnis,BBRI,BRI Collaborates with Siloam Hospitals
2,2018-09-28,"Anak Usaha Dicaplok BRI, Danareksa Masih Calon Holding BUMN Jasa Keuangan",Bisnis,BBRI,"Subsidiary Annexed by BRI, mutual funds Still Candidate for Holding Financial Services BUMN"
3,2018-10-07,BRI berikan pinjaman non cash loan US$ 200 juta ke Garuda Indonesia,Kontan,BBRI,BRI provided a non-cash loan of US$ 200 million to Garuda Indonesia
4,2018-10-24,BRI Mengaku Tertarik Dengan Bank Banten,Bisnis,BBRI,BRI Claims to be Interested in Bank Banten
5,2018-10-24,"Biaya dana naik, NIM BRI turun menjadi 7,61% di kuartal III-2018",Kontan,BBRI,"Fund costs rose, BRI's NIM fell to 7.61% in the third quarter of 2018"
6,2018-11-15,"Modernisasi infrastruktur, BRI akan naikkan anggaran belanja IT 10% di tahun depan",Kontan,BBRI,"Infrastructure modernization, BRI will increase its IT spending budget by 10% next year"
7,2018-11-30,BRI Agro Raih Penghargaan Bank Indonesia,Bisnis,BBRI,BRI Agro Wins Bank Indonesia Award
8,2018-12-21,Kertas Basuki Rahmat (KBRI) mencari investor demi memaksimalkan produksi,Kontan,BBRI,Paper Basuki Rahmat (KBRI) is looking for investors to maximize production
9,2018-12-26,"Perkuat bisnis, BRI bentuk tiga anak usaha lewat akuisisi",Kontan,BBRI,"Strengthening business, BRI formed three subsidiaries through acquisitions"
10,2018-12-27,"Akuisisi 3 Entitas, BRI Kucurkan Rp822 Miliar",Bisnis,BBRI,"Acquisition of 3 Entities, BRI Disburses IDR 822 Billion"
11,2019-01-04,Direktur BRI Dilantik Jadi Dirut Pegadaian,Bisnis,BBRI,Director of BRI Appointed as President Director of pawnshop
12,2019-02-06,BRI Gandeng BPN Untuk Permudah Penyaluran Kredit,Bisnis,BBRI,BRI Collaborates with BPN to Facilitate Credit Distribution
